track_name,album_name,artist,all_artists,source_playlist,popularity,danceability,energy,tempo
Masajin,Masajin,Junior Hassen,Junior Hassen,2k23,0,0.838,0.471,86.993
Ramallah,Ramallah,Junior Hassen,Junior Hassen,2k23,0,0.846,0.683,86.957
I Don't Give A F,GOOD KID TOXIC CITY.,XIIVI,XIIVI,2k23,0,0.863,0.278,80.003
Mooja 1.0 (intro),Waves,SAFFWIZZ,SAFFWIZZ,2k23,28,0.678,0.669,112.078
hue_man nature,hue_man nature,Saba,"Saba, No ID",2k23,41,0.661,0.589,85.535
hue_man nature,hue_man nature,No ID,"Saba, No ID",2k23,41,0.661,0.589,85.535
Sba9ni Wechka,Sba9ni Wechka,Erkez Hiphop,"Erkez Hiphop, Tiga Blackna, Vipa",2k23,23,0.63,0.378,95.016
Sba9ni Wechka,Sba9ni Wechka,Tiga Blackna,"Erkez Hiphop, Tiga Blackna, Vipa",2k23,23,0.63,0.378,95.016
Sba9ni Wechka,Sba9ni Wechka,Vipa,"Erkez Hiphop, Tiga Blackna, Vipa",2k23,23,0.63,0.378,95.016
Per Noi,Per Noi,Madou Mc,"Madou Mc, Ktyb, Flucci",2k23,7,0.523,0.489,160.154
Per Noi,Per Noi,Ktyb,"Madou Mc, Ktyb, Flucci",2k23,7,0.523,0.489,160.154
Per Noi,Per Noi,Flucci,"Madou Mc, Ktyb, Flucci",2k23,7,0.523,0.489,160.154
Gotham,DECLIC,Madou Mc,"Madou Mc, Dawan, Trax",2k23,0,0.843,0.521,149.997
Gotham,DECLIC,Dawan,"Madou Mc, Dawan, Trax",2k23,0,0.843,0.521,149.997
Gotham,DECLIC,Trax,"Madou Mc, Dawan, Trax",2k23,0,0.843,0.521,149.997
Range ton arme,DECLIC,Madou Mc,"Madou Mc, Malik Shtarac, Vipa",2k23,4,0.726,0.512,89.976
Range ton arme,DECLIC,Malik Shtarac,"Madou Mc, Malik Shtarac, Vipa",2k23,4,0.726,0.512,89.976
Range ton arme,DECLIC,Vipa,"Madou Mc, Malik Shtarac, Vipa",2k23,4,0.726,0.512,89.976
Koulou Banat,Koulou Banat,Gharam Electric,Gharam Electric,2k23,11,0.686,0.596,135.126
We Battle The Shadows,We Battle The Shadows,Cheb terro,"Cheb terro, Dryveins",2k23,0,0.729,0.685,136.018
We Battle The Shadows,We Battle The Shadows,Dryveins,"Cheb terro, Dryveins",2k23,0,0.729,0.685,136.018
AL Cheb Never Dies,Drynie's World,Omara,"Omara, Dryveins",2k23,1,0.657,0.458,95.576
AL Cheb Never Dies,Drynie's World,Dryveins,"Omara, Dryveins",2k23,1,0.657,0.458,95.576
اكحل,COLLECTION OF CHEB TERRO X DJ HRIZEN,DJ Hrizen,"DJ Hrizen, Cheb terro",2k23,11,0.706,0.308,145.181
اكحل,COLLECTION OF CHEB TERRO X DJ HRIZEN,Cheb terro,"DJ Hrizen, Cheb terro",2k23,11,0.706,0.308,145.181
Michael Irvin,Flygod Is An Awesome God 2,Westside Gunn,Westside Gunn,2k23,55,0.464,0.524,179.926
Petite foulée,Petite foulée,Mizo-H,Mizo-H,2k23,13,0.87,0.782,122.909
9OLI CHKOUN,9OLI CHKOUN,RARE,RARE,2k23,0,0.548,0.591,110.979
Sahloul 2016,COLLECTION OF CHEB TERRO X DJ HRIZEN,DJ Hrizen,"DJ Hrizen, Cheb terro",2k23,18,0.815,0.478,150.023
Sahloul 2016,COLLECTION OF CHEB TERRO X DJ HRIZEN,Cheb terro,"DJ Hrizen, Cheb terro",2k23,18,0.815,0.478,150.023
Yung Chuky,COLLECTION OF CHEB TERRO X DJ HRIZEN,DJ Hrizen,"DJ Hrizen, Cheb terro",2k23,10,0.587,0.728,148.012
Yung Chuky,COLLECTION OF CHEB TERRO X DJ HRIZEN,Cheb terro,"DJ Hrizen, Cheb terro",2k23,10,0.587,0.728,148.012
Win Mechin - Deluxe Version,Win Mechin (Deluxe Version),SAFFWIZZ,"SAFFWIZZ, RamsJamsss",2k23,0,0.481,0.565,103.075
Win Mechin - Deluxe Version,Win Mechin (Deluxe Version),RamsJamsss,"SAFFWIZZ, RamsJamsss",2k23,0,0.481,0.565,103.075
Zero Women - Freestyle,GOOD KID TOXIC CITY.,XIIVI,XIIVI,2k23,0,0.963,0.51,114.031
Zugzwang,OYABUN,Wingz,"Wingz, BAXV, XIIVI",2k23,0,0.801,0.55,140.013
Zugzwang,OYABUN,BAXV,"Wingz, BAXV, XIIVI",2k23,0,0.801,0.55,140.013
Zugzwang,OYABUN,XIIVI,"Wingz, BAXV, XIIVI",2k23,0,0.801,0.55,140.013
Train,Gen Z,$MXTI,"$MXTI, Dryveins, BAXV",2k23,0,0.734,0.334,140.037
Train,Gen Z,Dryveins,"$MXTI, Dryveins, BAXV",2k23,0,0.734,0.334,140.037
Train,Gen Z,BAXV,"$MXTI, Dryveins, BAXV",2k23,0,0.734,0.334,140.037
METROCK,METRO EL RAP,SAFFWIZZ,"SAFFWIZZ, Halim yousfi, Kyng Hooper",2k23,7,0.651,0.657,191.973
