artist,popularity_mean,popularity_count,danceability_mean,energy_mean,tempo_mean,popularity_cluster,danceability_cluster,energy_cluster
Explicite,5.666666666666667,15,0.6793333333333333,0.5921333333333333,121.66513333333334,Very Low,Medium Dance,Medium Energy
FIJO,0.0,1,0.754,0.661,137.96,Very Low,High Dance,Medium Energy
FIN,11.333333333333334,3,0.537,0.5466666666666667,176.55066666666667,Very Low,Low Dance,Medium Energy
Feddini,19.75,12,0.6206666666666667,0.5714166666666667,119.26291666666667,Low,Medium Dance,Medium Energy
Flenn,47.0,1,0.627,0.469,126.955,Medium,Medium Dance,Medium Energy
Flucci,7.0,1,0.523,0.489,160.154,Very Low,Low Dance,Medium Energy
Fossa,3.8333333333333335,48,0.7213541666666666,0.5020416666666666,123.062125,Very Low,Medium Dance,Medium Energy
Frank Ocean,63.0,1,0.608,0.0664,139.232,High,Medium Dance,Low Energy
Freddie Gibbs,51.0,1,0.595,0.555,78.558,High,Medium Dance,Medium Energy
FrenchSo Beats,0.0,1,0.508,0.704,186.432,Very Low,Low Dance,High Energy
Fresh,5.0,1,0.66,0.448,80.003,Very Low,Medium Dance,Medium Energy
G.G.A,20.3,10,0.8051,0.5762,119.1946,Low,High Dance,Medium Energy
GAL3Y,13.5,6,0.6368333333333334,0.6666666666666666,96.56450000000001,Very Low,Medium Dance,High Energy
GOUCHI,7.0,1,0.649,0.718,125.333,Very Low,Medium Dance,High Energy
Galaleo,38.0,1,0.82,0.525,119.996,Medium,High Dance,Medium Energy
Gas,25.0,1,0.857,0.575,122.029,Low,High Dance,Medium Energy
Ghali,47.0,1,0.536,0.331,149.743,Medium,Low Dance,Low Energy
Gharam Electric,11.0,1,0.686,0.596,135.126,Very Low,Medium Dance,Medium Energy
Gharga,3.0,1,0.68,0.651,140.041,Very Low,Medium Dance,Medium Energy
HTB,5.933333333333334,15,0.7440666666666667,0.41653333333333337,116.00113333333333,Very Low,High Dance,Medium Energy
Halim yousfi,7.0,1,0.651,0.657,191.973,Very Low,Medium Dance,Medium Energy
Hamdi Ryder,0.0,1,0.651,0.888,139.996,Very Low,Medium Dance,High Energy
Harry Fraud,45.0,1,0.548,0.723,135.892,Medium,Low Dance,High Energy
HbibzGang,0.0,1,0.544,0.85,115.526,Very Low,Low Dance,High Energy
Hedi Donia,21.0,1,0.537,0.842,105.534,Low,Low Dance,High Energy
Icxn,10.333333333333334,3,0.6746666666666666,0.7826666666666666,112.69433333333332,Very Low,Medium Dance,High Energy
Ily,0.0,1,0.85,0.534,104.002,Very Low,High Dance,Medium Energy
It's ERROR,11.5,2,0.6859999999999999,0.671,111.38550000000001,Very Low,Medium Dance,High Energy
J. Cole,53.0,1,0.842,0.657,140.057,High,High Dance,Medium Energy
JID,53.0,1,0.842,0.657,140.057,High,High Dance,Medium Energy
JenJoon,35.733333333333334,15,0.7030666666666666,0.5126000000000001,140.69480000000001,Medium,Medium Dance,Medium Energy
John Mayer,63.0,1,0.608,0.0664,139.232,High,Medium Dance,Low Energy
John Six,28.25,8,0.61175,0.618625,126.80975,Low,Medium Dance,Medium Energy
Jon Connor,23.0,1,0.508,0.473,77.484,Low,Low Dance,Medium Energy
Juanes,49.0,1,0.691,0.759,129.949,Medium,Medium Dance,High Energy
Junior,0.0,1,0.629,0.484,86.869,Very Low,Medium Dance,Medium Energy
Junior Hassen,23.25,4,0.837,0.5780000000000001,86.97874999999999,Low,High Dance,Medium Energy
K CAMP,0.0,1,0.798,0.574,109.959,Very Low,High Dance,Medium Energy
K-2ouj,17.0,1,0.817,0.724,120.018,Low,High Dance,High Energy
KADDY,0.0,1,0.424,0.318,141.971,Very Low,Low Dance,Low Energy
KHLNZYY,11.666666666666666,3,0.8176666666666667,0.4166666666666667,117.16000000000001,Very Low,High Dance,Medium Energy
Kanye West,83.0,1,0.367,0.665,148.913,Very High,Low Dance,High Energy
Kaso,34.0,4,0.735,0.49150000000000005,111.27225,Medium,Medium Dance,Medium Energy
Katori Walker,23.0,1,0.508,0.473,77.484,Low,Low Dance,Medium Energy
Katybon,23.166666666666668,6,0.6425,0.6073333333333334,101.35849999999999,Low,Medium Dance,Medium Energy
Kenny Segal,37.0,5,0.6058,0.7154,112.4768,Medium,Medium Dance,High Energy
Kiev,14.0,6,0.7599999999999999,0.474,132.49283333333332,Very Low,High Dance,Medium Energy
Koast,21.0,1,0.787,0.728,75.994,Low,High Dance,High Energy
Ktyb,26.88235294117647,34,0.6357941176470588,0.5856764705882354,113.30161764705883,Low,Medium Dance,Medium Energy
Kyng Hooper,7.0,1,0.651,0.657,191.973,Very Low,Medium Dance,Medium Energy
L2,3.25,8,0.710875,0.581375,128.663625,Very Low,Medium Dance,Medium Energy
LUAS,5.0,3,0.5956666666666667,0.5630000000000001,144.63833333333332,Very Low,Medium Dance,Medium Energy
La Fine Equipe,52.0,1,0.801,0.586,83.656,High,High Dance,Medium Energy
Lakoud,0.0,1,0.56,0.663,73.378,Very Low,Medium Dance,Medium Energy
Lakrush,20.0,1,0.496,0.335,125.458,Low,Low Dance,Low Energy
Larry June,45.0,1,0.548,0.723,135.892,Medium,Low Dance,High Energy
Lil' K,3.0,1,0.828,0.736,76.519,Very Low,High Dance,High Energy
Linko,3.0,1,0.828,0.736,76.519,Very Low,High Dance,High Energy
LoopLion,1.0,1,0.609,0.43,84.896,Very Low,Medium Dance,Medium Energy
M.A,2.0,5,0.694,0.562,133.7438,Very Low,Medium Dance,Medium Energy
M.S.I,23.0,1,0.881,0.641,143.178,Low,High Dance,Medium Energy
MARROUKI,2.25,4,0.7645,0.68925,125.00450000000001,Very Low,High Dance,High Energy
Madou Mc,3.6666666666666665,3,0.6973333333333334,0.5073333333333333,133.37566666666666,Very Low,Medium Dance,Medium Energy
Mahdi Machfar,39.0,1,0.76,0.653,144.111,Medium,High Dance,Medium Energy
Mahdigreb,9.0,2,0.6519999999999999,0.506,103.50049999999999,Very Low,Medium Dance,Medium Energy
Mahdy Madness,0.0,1,0.424,0.318,141.971,Very Low,Low Dance,Low Energy
Malik Shtarac,4.0,1,0.726,0.512,89.976,Very Low,Medium Dance,Medium Energy
Marwan Moussa,50.0,1,0.879,0.505,110.991,High,High Dance,Medium Energy
Matsuda,8.0,1,0.591,0.719,83.524,Very Low,Medium Dance,High Energy
Methlab,2.0,1,0.829,0.677,100.015,Very Low,High Dance,High Energy
